"sku","sales_channel","amount"
"BA_CTT_B","purelinen","50.0000"
"BA_CTT_B","linenthings","109.9900"
"BA_CTT_BBBS","purelinen","50.0000"
"BA_CTT_BBBS","linenthings","109.9900"
"BA_CTT_BBGS","purelinen","50.0000"
"BA_CTT_BBGS","linenthings","109.9900"
"BA_CTT_BBMS","purelinen","50.0000"
"BA_CTT_BBMS","linenthings","109.9900"
"BA_CTT_BBNS","purelinen","50.0000"
"BA_CTT_BBNS","linenthings","109.9900"
"BA_CTT_BBOW","purelinen","50.0000"
"BA_CTT_BBOW","linenthings","109.9900"
"BA_CTT_BBRS","purelinen","50.0000"
"BA_CTT_BBRS","linenthings","109.9900"
"BA_CTT_BBS","purelinen","12.0000"
"BA_CTT_BBS","linenthings","29.9900"
"BA_CTT_BGS","purelinen","12.0000"
"BA_CTT_BGS","linenthings","29.9900"
"BA_CTT_Bib","purelinen","12.0000"
"BA_CTT_Bib","linenthings","29.9900"
"BA_CTT_BMS","purelinen","12.0000"
"BA_CTT_BMS","linenthings","29.9900"
"BA_CTT_BNS","purelinen","12.0000"
"BA_CTT_BNS","linenthings","29.9900"
"BA_CTT_BO","purelinen","35.0000"
"BA_CTT_BO","linenthings","79.9900"
"BA_CTT_BOBS","purelinen","35.0000"
"BA_CTT_BOBS","linenthings","79.9900"
"BA_CTT_BOGS","purelinen","35.0000"
"BA_CTT_BOGS","linenthings","79.9900"
"BA_CTT_BOMS","purelinen","35.0000"
"BA_CTT_BOMS","linenthings","79.9900"
"BA_CTT_BONS","purelinen","35.0000"
"BA_CTT_BONS","linenthings","79.9900"
"BA_CTT_Booties","purelinen","35.0000"
"BA_CTT_Booties","linenthings","79.9900"
"BA_CTT_BOOW","purelinen","35.0000"
"BA_CTT_BOOW","linenthings","79.9900"
"BA_CTT_BORS","purelinen","35.0000"
"BA_CTT_BORS","linenthings","79.9900"
"BA_CTT_BOW","purelinen","12.0000"
"BA_CTT_BOW","linenthings","29.9900"
"BA_CTT_BRS","purelinen","12.0000"
"BA_CTT_BRS","linenthings","29.9900"
"BA_CTT_BWBS","purelinen","12.0000"
"BA_CTT_BWBS","linenthings","29.9900"
"BA_CTT_BWGS","purelinen","12.0000"
"BA_CTT_BWGS","linenthings","29.9900"
"BA_CTT_BWMS","purelinen","12.0000"
"BA_CTT_BWMS","linenthings","29.9900"
"BA_CTT_BWNS","purelinen","12.0000"
"BA_CTT_BWNS","linenthings","29.9900"
"BA_CTT_BWOW","purelinen","12.0000"
"BA_CTT_BWOW","linenthings","29.9900"
"BA_CTT_G","purelinen","10.0000"
"BA_CTT_G","linenthings","24.9900"
"BA_CTT_GBS","purelinen","10.0000"
"BA_CTT_GBS","linenthings","24.9900"
"BA_CTT_GGS","purelinen","10.0000"
"BA_CTT_GGS","linenthings","24.9900"
"BA_CTT_GMS","purelinen","10.0000"
"BA_CTT_GMS","linenthings","24.9900"
"BA_CTT_GNS","purelinen","10.0000"
"BA_CTT_GNS","linenthings","24.9900"
"BA_CTT_GOW","purelinen","10.0000"
"BA_CTT_GOW","linenthings","24.9900"
"BA_CTT_GRS","purelinen","10.0000"
"BA_CTT_GRS","linenthings","24.9900"
"BA_CTT_H","purelinen","35.0000"
"BA_CTT_H","linenthings","79.9900"
"BA_CTT_HBS","purelinen","21.0000"
"BA_CTT_HBS","linenthings","49.9900"
"BA_CTT_HGS","purelinen","21.0000"
"BA_CTT_HGS","linenthings","49.9900"
"BA_CTT_HMS","purelinen","21.0000"
"BA_CTT_HMS","linenthings","49.9900"
"BA_CTT_HNS","purelinen","21.0000"
"BA_CTT_HNS","linenthings","49.9900"
"BA_CTT_HOW","purelinen","21.0000"
"BA_CTT_HOW","linenthings","49.9900"
"BA_CTT_HRS","purelinen","21.0000"
"BA_CTT_HRS","linenthings","49.9900"
"BA_CTT_SL","purelinen","30.0000"
"BA_CTT_SL","linenthings","69.9900"
"BA_CTT_SLBS","purelinen","30.0000"
"BA_CTT_SLBS","linenthings","69.9900"
"BA_CTT_SLGS","purelinen","30.0000"
"BA_CTT_SLGS","linenthings","69.9900"
"BA_CTT_SLMS","purelinen","30.0000"
"BA_CTT_SLMS","linenthings","69.9900"
"BA_CTT_SLNS","purelinen","30.0000"
"BA_CTT_SLNS","linenthings","69.9900"
"BA_CTT_SLOW","purelinen","30.0000"
"BA_CTT_SLOW","linenthings","69.9900"
"BA_CTT_SLRS","purelinen","30.0000"
"BA_CTT_SLRS","linenthings","69.9900"
"BA_CTT_SP","purelinen","8.0000"
"BA_CTT_SP","linenthings","19.9900"
"BA_CTT_SPBS","purelinen","8.0000"
"BA_CTT_SPBS","linenthings","19.9900"
"BA_CTT_SPGS","purelinen","8.0000"
"BA_CTT_SPGS","linenthings","19.9900"
"BA_CTT_SPMS","purelinen","8.0000"
"BA_CTT_SPMS","linenthings","19.9900"
"BA_CTT_SPNS","purelinen","8.0000"
"BA_CTT_SPNS","linenthings","19.9900"
"BA_CTT_SPOW","purelinen","8.0000"
"BA_CTT_SPOW","linenthings","19.9900"
"BA_CTT_SPRS","purelinen","8.0000"
"BA_CTT_SPRS","linenthings","19.9900"
"BA_CTT_TBBB","purelinen","12.0000"
"BA_CTT_TBBB","linenthings","29.9900"
"BA_CTT_TBBG","purelinen","12.0000"
"BA_CTT_TBBG","linenthings","29.9900"
"BA_CTT_TBBM","purelinen","12.0000"
"BA_CTT_TBBM","linenthings","29.9900"
"BA_CTT_TBBN","purelinen","12.0000"
"BA_CTT_TBBN","linenthings","29.9900"
"BA_CTT_TBBR","purelinen","12.0000"
"BA_CTT_TBBR","linenthings","29.9900"
"BA_CTT_TBBRG","purelinen","130.0000"
"BA_CTT_TBBRG","linenthings","289.9900"
"BA_CTT_TBBRM","purelinen","130.0000"
"BA_CTT_TBBRM","linenthings","289.9900"
"BA_CTT_TBBRN","purelinen","130.0000"
"BA_CTT_TBBRN","linenthings","289.9900"
"BA_CTT_TBBRR","purelinen","130.0000"
"BA_CTT_TBBRR","linenthings","289.9900"
"BA_CTT_TBBRW","purelinen","130.0000"
"BA_CTT_TBBRW","linenthings","289.9900"
"BA_CTT_TBBW","purelinen","12.0000"
"BA_CTT_TBBW","linenthings","29.9900"
"BA_CTT_TBHB","purelinen","21.0000"
"BA_CTT_TBHB","linenthings","49.9900"
"BA_CTT_TBHG","purelinen","21.0000"
"BA_CTT_TBHG","linenthings","49.9900"
"BA_CTT_TBHM","purelinen","21.0000"
"BA_CTT_TBHM","linenthings","49.9900"
"BA_CTT_TBHN","purelinen","21.0000"
"BA_CTT_TBHN","linenthings","49.9900"
"BA_CTT_TBHR","purelinen","21.0000"
"BA_CTT_TBHR","linenthings","49.9900"
"BA_CTT_TBHW","purelinen","21.0000"
"BA_CTT_TBHW","linenthings","49.9900"
"BA_CTT_TCBWB","purelinen","12.0000"
"BA_CTT_TCBWB","linenthings","29.9900"
"BA_CTT_TCBWG","purelinen","12.0000"
"BA_CTT_TCBWG","linenthings","29.9900"
"BA_CTT_TCBWM","purelinen","12.0000"
"BA_CTT_TCBWM","linenthings","29.9900"
"BA_CTT_TCBWN","purelinen","12.0000"
"BA_CTT_TCBWN","linenthings","29.9900"
"BA_CTT_TCBWR","purelinen","12.0000"
"BA_CTT_TCBWR","linenthings","29.9900"
"BA_CTT_TCBWW","purelinen","12.0000"
"BA_CTT_TCBWW","linenthings","29.9900"
"BA_CTT_TCCSB","purelinen","8.0000"
"BA_CTT_TCCSB","linenthings","19.9900"
"BA_CTT_TCCSG","purelinen","8.0000"
"BA_CTT_TCCSG","linenthings","19.9900"
"BA_CTT_TCCSM","purelinen","8.0000"
"BA_CTT_TCCSM","linenthings","19.9900"
"BA_CTT_TCCSN","purelinen","8.0000"
"BA_CTT_TCCSN","linenthings","19.9900"
"BA_CTT_TCCSR","purelinen","8.0000"
"BA_CTT_TCCSR","linenthings","19.9900"
"BA_CTT_TCCSW","purelinen","8.0000"
"BA_CTT_TCCSW","linenthings","19.9900"
"BA_CTT_TCGB","purelinen","10.0000"
"BA_CTT_TCGB","linenthings","24.9900"
"BA_CTT_TCGG","purelinen","10.0000"
"BA_CTT_TCGG","linenthings","24.9900"
"BA_CTT_TCGM","purelinen","10.0000"
"BA_CTT_TCGM","linenthings","24.9900"
"BA_CTT_TCGR","purelinen","10.0000"
"BA_CTT_TCGR","linenthings","24.9900"
"BA_CTT_TCGTN","purelinen","10.0000"
"BA_CTT_TCGTN","linenthings","24.9900"
"BA_CTT_TCGW","purelinen","10.0000"
"BA_CTT_TCGW","linenthings","24.9900"
"BA_CTT_TCSB","purelinen","30.0000"
"BA_CTT_TCSB","linenthings","69.9900"
"BA_CTT_TCSCB","purelinen","35.0000"
"BA_CTT_TCSCB","linenthings","79.9900"
"BA_CTT_TCSCG","purelinen","35.0000"
"BA_CTT_TCSCG","linenthings","79.9900"
"BA_CTT_TCSCM","purelinen","35.0000"
"BA_CTT_TCSCM","linenthings","79.9900"
"BA_CTT_TCSCR","purelinen","35.0000"
"BA_CTT_TCSCR","linenthings","79.9900"
"BA_CTT_TCSCW","purelinen","35.0000"
