Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url,Product Image 2 Url
,ba-c-bt,COOGEE Body Towel,,COOGEE Body Towel,published,,,,,,,,,,,,,TRUE,,,COOGEE Body Towel - Off White - 150cm x 100cm,BA_C_BTOW,,FALSE,TRUE,,,,,,,,,,240,Colour,Off White,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_03_1.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Body Towel,published,,,,,,,,,,,,,TRUE,,,COOGEE Body Towel - Guild Grey - 150cm x 100cm,BA_C_BTGG,,FALSE,TRUE,,,,,,,,,,240,Colour,Guild Grey,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_04_1.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Body Towel - Natural Flax - 150cm x 100cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Body Towel - Natural Flax - 150cm x 100cm,BA_C_BTNF,,FALSE,TRUE,,,,,,,,,,240,Colour,Natural Flax,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_05.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Hand Towel - Natural Flax - 80cm x 50cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Hand Towel - Natural Flax - 80cm x 50cm,BA_C_HTNF,,FALSE,TRUE,,,,,,,,,,80,Colour,Natural Flax,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_05_1.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Hand Towel - Off White - 80cm x 50cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Hand Towel - Off White - 80cm x 50cm,BA_C_HTOW,,FALSE,TRUE,,,,,,,,,,80,Colour,Off White,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_03_2.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Hand Towel - Guild Grey - 80cm x 50cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Hand Towel - Guild Grey - 80cm x 50cm,BA_C_HTGG,,FALSE,TRUE,,,,,,,,,,80,Colour,Guild Grey,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_04_2.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Face Towel - Guild Grey - 30cm x 30cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Face Towel - Guild Grey - 30cm x 30cm,BA_C_FTGG,,FALSE,TRUE,,,,,,,,,,40,Colour,Guild Grey,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_04_2_1.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Face Towel - Off White - 30cm x 30cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Face Towel - Off White - 30cm x 30cm,BA_C_FTOW,,FALSE,TRUE,,,,,,,,,,40,Colour,Off White,,,,,https://purelinen.com.au/media/catalog/product/b/a/ba_c_03_3.jpg,
,ba-c-bt,COOGEE Body Towel,,COOGEE Face Towel - Natural Flax - 30cm x 30cm,published,,,,,,,,,,,,,TRUE,,,COOGEE Face Towel - Natural Flax - 30cm x 30cm,BA_C_FTNF,,FALSE,TRUE,,,,,,,,,,40,Colour,Natural Flax,,,,,https://purelinen.com.au/media/catalog/product/i/m/img_7195.jpg,
,bl-a-dc,AMALFI Coona Cover,,AMALFI Doona Cover  Colour Charcoal Size King 240x210,published,,,,,,,,,,,,,TRUE,,,AMALFI Doona Cover  Colour Charcoal Size King 240x210,BL_A_DCKC240X210,,FALSE,TRUE,,,,,,,,,,800,Colour,Charcoal,Size,King - 240cm x 210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_charcoal_1.jpg,
