Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url,Product Image 2 Url
,hd-s-c,Sejero Curtain,,Sejero Curtain - Cobalt- 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Cobalt- 146 x 220,HD_S_COB220,,FALSE,TRUE,,,,,,,,,,465,Colour,Cobalt,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Cobalt- 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Cobalt- 146 x 260,HD_S_COB260,,FALSE,TRUE,,,,,,,,,,400,Colour,Cobalt,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Cobalt- 146 x 300,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Cobalt- 146 x 300,HD_S_COB300,,FALSE,TRUE,,,,,,,,,,430,Colour,Cobalt,Size,146cm x 300cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Opal Grey- 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Opal Grey- 146 x 220,HD_S_OG220,,FALSE,TRUE,,,,,,,,,,465,Colour,Opal Grey,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Opal Grey- 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Opal Grey- 146 x 260,HD_S_OG260,,FALSE,TRUE,,,,,,,,,,400,Colour,Opal Grey,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Opal Grey- 146 x 300,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Opal Grey- 146 x 300,HD_S_OG300,,FALSE,TRUE,,,,,,,,,,430,Colour,Opal Grey,Size,146cm x 300cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Citron- 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Citron- 146 x 220,HD_S_CIT220,,FALSE,TRUE,,,,,,,,,,465,Colour,Citron,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Citron- 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Citron- 146 x 260,HD_S_CIT260,,FALSE,TRUE,,,,,,,,,,400,Colour,Citron,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Citron- 146 x 300,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Citron- 146 x 300,HD_S_CIT300,,FALSE,TRUE,,,,,,,,,,430,Colour,Citron,Size,146cm x 300cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Optical White - 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Optical White - 146 x 220,HD_S_OW220,,FALSE,TRUE,,,,,,,,,,465,Colour,Optical White,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Optical White - 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Optical White - 146 x 260,HD_S_OW260,,FALSE,TRUE,,,,,,,,,,400,Colour,Optical White,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Optical White - 146 x 300,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Optical White - 146 x 300,HD_S_OW300,,FALSE,TRUE,,,,,,,,,,430,Colour,Optical White,Size,146cm x 300cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Natural Flax - 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Natural Flax - 146 x 220,HD_S_NF220,,FALSE,TRUE,,,,,,,,,,465,Colour,Natural Flax,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Natural Flax - 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Natural Flax - 146 x 260,HD_S_NF260,,FALSE,TRUE,,,,,,,,,,400,Colour,Natural Flax,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Semi Natural - 146 x 220,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Semi Natural - 146 x 220,HD_S_SN220,,FALSE,TRUE,,,,,,,,,,430,Colour,Semi Natural,Size,146cm x 220cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Semi Natural - 146 x 260,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Semi Natural - 146 x 260,HD_S_SN260,,FALSE,TRUE,,,,,,,,,,400,Colour,Semi Natural,Size,146cm x 260cm,,,,
,hd-s-c,Sejero Curtain,,Sejero Curtain - Semi Natural - 146 x 300,published,,,,,,,,,,,,,TRUE,,,Sejero Curtain - Semi Natural - 146 x 300,HD_S_SN300,,FALSE,TRUE,,,,,,,,,,430,Colour,Semi Natural,Size,146cm x 300cm,,,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 45 x 45 Plain,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 45 x 45 Plain,HD_SEJ_CU_PB45X45,,FALSE,TRUE,,,,,,,,,,465,Colour,Pearl Blue,Size,45cm x 45cm,Style,Plain Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 45 x 45 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 45 x 45 With Piping,HD_SEJ_CU_PB45X45P,,FALSE,TRUE,,,,,,,,,,110,Colour,Pearl Blue,Size,45cm x 45cm ,Style,Piping Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 50 x 50 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 50 x 50 With Piping,HD_SEJ_CU_PB50X50P,,FALSE,TRUE,,,,,,,,,,110,Colour,Pearl Blue,Size,50cm x 50cm,Style,Piping Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 50 x 50 Plain,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 50 x 50 Plain,HD_SEJ_CU_PB50X50pl,,FALSE,TRUE,,,,,,,,,,120,Colour,Pearl Blue,Size,50cm x 50cm,Style,Plain Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 60 x 60 Plain,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 60 x 60 Plain,HD_SEJ_CU_PB60X60,,FALSE,TRUE,,,,,,,,,,120,Colour,Pearl Blue,Size,60cm x 60cm,Style,Plain Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Pearl Blue 60 x 60 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Pearl Blue 60 x 60 With Piping,HD_SEJ_CU_PB60X60P,,FALSE,TRUE,,,,,,,,,,145,Colour,Pearl Blue,Size,60cm x 60cm ,Style,Piping Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Arctic Blue 45 x 45 Plain,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Arctic Blue 45 x 45 Plain,HD_SEJ_CU_AB45X45,,FALSE,TRUE,,,,,,,,,,145,Colour,Arctic Blue,Size,45cm x 45cm,Style,Plain Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Arctic Blue 45 x 45 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Arctic Blue 45 x 45 With Piping,HD_SEJ_CU_AB45X45P,,FALSE,TRUE,,,,,,,,,,110,Colour,Arctic Blue,Size,45cm x 45cm,Style,Piping Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Arctic Blue 50 x 50 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Arctic Blue 50 x 50 With Piping,HD_SEJ_CU_AB50X50P,,FALSE,TRUE,,,,,,,,,,110,Colour,Arctic Blue,Size,50cm x 50cm,Style,Piping Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Arctic Blue 50 x 50 Plain,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Arctic Blue 50 x 50 Plain,HD_SEJ_CU_AB50X50,,FALSE,TRUE,,,,,,,,,,120,Colour,Arctic Blue,Size,50cm x 50cm,Style,Plain Edges,,
,hd-sej-cc,Sejero Cushion Cover,,SEJERO Cushion - Arctic Blue 60 x 60 With Piping,published,,,,,,,,,,,,,TRUE,,,SEJERO Cushion - Arctic Blue 60 x 60 With Piping,HD_SEJ_CU_AB60X60P,,FALSE,TRUE,,,,,,,,,,120,Colour,Arctic Blue,Size,60cm x 60cm,Style,Plain Edges,,
