Product Handle,Variant Title,Variant SKU,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Product Image 1 Url
bl-a-dc,AMALFI Doona Cover  Colour Charcoal Size King 240x210,BL_A_DCKC240X210,800,Colour,Charcoal,Size,King - 240cm x 210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_charcoal_1.jpg
bl-a-dc,AMALFI Doona Cover  Colour Stone Grey Size King 240x210,BL_A_DCKSG240X210,800,Colour,Stone Grey,Size,King - 240cm x 210cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_stone_grey_1.jpg
bl-a-fs,Amalfi Fitted Sheet Colour Charcoal Size Queen 152x203+50 ,BL_A_FSCQ,550,Colour,Charcoal,Size,Queen -152cm x 230cm +50cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_charcoal_2.jpg
bl-a-p,AMALFI Pillow Case Envelope Style Taupe 65x65 ,BL_A_PCEST65X65,120,Colour,Taupe,Size,65cm x 65cm,,,
bl-a-p,AMALFI Pillow Case Envelope Style Charcoal 48x73 ,BL_A_PCEC48X73,120,Colour,Charcoal,Size,48cm x 73cm,,,
bl-a-p,AMALFI Pillow Case Envelope Style Charcoal 65x65 ,BL_A_PCESC65X65,120,Colour,Charcoal,Size,65cm x 65cm,,,
bl-a-p,AMALFI Pillow Case Envelope Style Stone Grey 48x73 ,BL_A_PCESG48X73,120,Colour,Stone Grey,Size,48cm x 73cm,,,
bl-a-p,AMALFI Pillow Case Envelope Style Stone Grey 65x65 ,BL_A_PCESSG65X65,120,Colour,Stone Grey,Size,65cm x 65cm,,,
bl-a-p,Set of x2 AMALFI Pillow Case Envelope Style Charcoal 48x73,BL_A_PCC48x2,240,Colour,Charcoal,Size,48cm x 73cm,,,https://purelinen.com.au/media/catalog/product/b/l/bl_amalfi_charcoal_3.jpg
bl-a-ts,AMALFI Top Sheet  Colour Taupe Size Queen 250x270,BL_A_TSQT250X270,400,Colour,Taupe,Size,Queen,,,
bl-a-ts,AMALFI Top Sheet  Colour Taupe Size King 270x280,BL_A_TSKT270X280,500,Colour,Taupe,Size,King - 270cm x 280cm,,,
bl-a-ts,AMALFI Top Sheet  Colour Stone Grey Size King 270x280,BL_A_TSKSG270X280,500,Colour,Stone Grey,Size,King - 270cm x 280cm,,,
bl-a-ts,AMALFI Top Sheet  Colour Charcoal Size King 270x280,BL_A_TSKC270X280,500,Colour,Charcoal,Size,King - 270cm x 280cm,,,
bl-arc-dc,Arctic Doona  Colour French Navy Size King 240x210 Made in Australia,BL_ARC_DCNK,960,Colour,French Navy,Size,King - 240cm x 210cm,,,
bl-arc-dc,Arctic Doona  Colour French Navy Size Queen 210x210cm Made in Australia,BL_ARC_DCNQ,960,Colour,French Navy,Size,Queen - 210cm x 210cm,,,
bl-arc-fs,Arctic Fitted Sheet Colour French Navy Size King 180x203+30 Made in Australia,BL_ARC_FSNK,480,Colour,French Navy,Size,King - 180cm x 203cm + 30cm,,,
